author,role,avatar,content,time,date,source,link
Cynthia Koons,"Health Editor, Wall Street Journal",https://ui-avatars.com/api/?name=CK&background=0D8ABC&color=fff,Cynthia Koons has now taken over as the health editor at the Wall Street Journal.,Recently,3/11/26,Personal News,
Rebecca Robbins,"Health & Pharma Reporter, The New York Times",https://ui-avatars.com/api/?name=RR&background=000&color=fff,"For those tracking Rebecca Robbins' beat, her most recent and prominent stories have focused heavily on drug pricing and policy. This includes deep-dives into the challenges of reviving domestic generic drug manufacturing and the opaque industry forces influencing prescription drug prices.",Recently,3/7/26,Analysis,
Jaimy Lee,"Health Editor, MarketWatch",https://ui-avatars.com/api/?name=JL&background=555&color=fff,"""Personal news: I am thrilled to announce I will be returning to MarketWatch as a Health Editor. Looking forward to jumping back into the fray in 2026!""",Recently,3/7/26,Personal News,
Ben (Nature Health),Chief Editor,https://ui-avatars.com/api/?name=NH&background=0D8ABC&color=fff,"The highly anticipated new journal, <em>Nature Health</em>, has officially launched under the leadership of Chief Editor Ben, and is actively recruiting for additional editors to expand their 2026 coverage.",Recently,3/7/26,Industry News,
Carter Sherman,Reproductive Health Reporter,https://ui-avatars.com/api/?name=CS&background=f6ad55&color=fff,"Some personal news! Carter Sherman, known for her in-depth reproductive health reporting, has shared an update on her next vocational steps for 2026.",Recently,3/7/26,Personal News,
Jessica Hagen,"Reporter, mobihealthnews",https://ui-avatars.com/api/?name=JH&background=10B981&color=fff,"💡 <strong>Pitching Tip:</strong> For those looking to place news announcements with mobihealthnews, Jessica Hagen is currently the most appropriate reporter to pitch.",Tips & Tricks,3/5/26,Industry News,
Rachel Cohrs Zhang,"Chief Washington Correspondent, STAT News",https://ui-avatars.com/api/?name=RC&background=0D8ABC&color=fff,"Personal update: Rachel Cohrs Zhang has announced she will be returning from personal leave soon, jumping back into her coverage of health policy and the politics of medicine.",Recently,3/5/26,Personal News,
Nancy Lapid,"Health Reporter, Reuters",https://ui-avatars.com/api/?name=NL&background=FFA500&color=fff,"Reuters reporter Nancy Lapid continues to produce high-impact health journalism into 2026. Her recent reporting prominently features deep-dives into GLP-1 drugs, addiction treatments, and Alzheimer's research.",Recently,3/5/26,Publication,
Axios Communicators,Media Trends Briefing,https://ui-avatars.com/api/?name=AX&background=333&color=fff,"<strong>2026 Health Media Outlook:</strong> Comm teams across the healthcare sector are bracing for a turbulent year. Expect major shifts in messaging strategies as health systems face a slowdown in hiring, the growing adoption of AI automation, and pressure from rising costs. Axios anticipates this will be the most significant period of transformation since the ACA.",Recently,3/5/26,Analysis,
Alexa Mikhail,"Senior Health and Longevity Writer, SHE Media (Flow Space)",https://ui-avatars.com/api/?name=AM&background=555&color=fff,"Following her time at Fortune, Alexa Mikhail has transitioned to SHE Media's Flow Space as their Senior Health and Longevity Writer. She continues her coverage of longevity science, workplace well-being, and women's health.",Recently,3/5/26,Industry News,
Beth Greenfield,"Parenting Writer, She Knows",https://ui-avatars.com/api/?name=BG&background=f6ad55&color=fff,"Beth Greenfield has officially joined She Knows, where she will be focusing heavily on covering parenting news.",Recently,3/5/26,Publication,
Anjalee Khemlani,"Contributor, Forbes | Host, Second Opinion",https://ui-avatars.com/api/?name=AK&background=0D8ABC&color=fff,"Anjalee Khemlani is now a Contributor for Forbes. Following her departure from Yahoo Finance, she is also hosting her own podcast and writing for Second Opinion.",Recently,3/11/26,Personal News,
Bertha Coombs,"Former Senior Health Care Reporter, CNBC",https://ui-avatars.com/api/?name=BC&background=FFA500&color=fff,Long-time veteran reporter Bertha Coombs has officially retired after more than two decades covering healthcare and financial markets at CNBC. Her last day was in late December 2025.,Dec-25,12/19/25,Press Release,
Brianna Abbott,Health and Science Journalist,https://ui-avatars.com/api/?name=BA&background=f6ad55&color=fff,Former Wall Street Journal reporter Brianna Abbott is currently freelancing while actively pursuing new full-time opportunities in health and science journalism.,Recently,3/5/26,Industry News,
MED-PR Conference,Networking Event,https://ui-avatars.com/api/?name=MP&background=000&color=fff,"The MED-PR Networking Conference hosted by Wynne PR is coming to NYC on March 26. Panelists include top editors and reporters from SELF, Business Insider, WSJ, Reuters, ABC News, and Forbes.",Upcoming Event,3/5/26,Press Release,
Lauran Neergaard,"Medical Writer, The Associated Press",https://ui-avatars.com/api/?name=LN&background=0D8ABC&color=fff,Lauran Neergaard of the AP has recently pivoted her coverage heavily towards infectious disease and cancer developments.,Recently,3/5/26,Personal News,
Reporter's Notebook,Special Feature,https://ui-avatars.com/api/?name=RN&background=68d391&color=fff,"<strong>Top 5 Most Active Freelance Health & Science Journalists (Trailing 365 Days):</strong><br>1. Anna Medaris<br>2. Kamala Thiagarajan<br>3. Emily Sohn<br>4. Whitney Bauck<br>5. James Dinneen<br><br><strong>HIMSS 2026 Roster Update:</strong> Additional media professionals confirmed to be attending or speaking include <strong>Craig Keefner</strong> (Editor in Chief, Kiosk Industry), <strong>Karen Hao</strong> (AI reporter and author), and <strong>Lucy Hedges</strong> (technology journalist).",Today,3/5/26,Personal News,
Lauren Brensel,"Reporter, Politico Pro",https://ui-avatars.com/api/?name=LB&background=B22222&color=fff,"Lauren Brensel continues to write consistently for Politico Pro covering health policy, while also serving as a metro reporter and contributing to Florida-based outlets like WUFT News.",Ongoing,3/5/26,Industry News,
Fast Company,Publication,https://ui-avatars.com/api/?name=FC&background=333&color=fff,"While Fast Company hasn't announced a new dedicated healthcare lead recently, Ruth Reader and veteran freelancer Sy Mukherjee continue to emerge as their dominant voices steering health, technology, and science coverage.",Recently,3/5/26,Industry News,
Tips & Tricks,Pitching Guide,https://ui-avatars.com/api/?name=TT&background=45f3ff&color=000,"<strong>Pitching Rebecca Pifer (Senior Reporter, Healthcare Dive):</strong> Keep pitches short and directly tied to the <em>business of healthcare</em>, particularly health insurers, public policy, retail health, and PBMs. Avoid consumer-focused pitches or overly witty subject lines. Phone interviews are preferred over video.",Guide,3/5/26,Analysis,
Tips & Tricks,Pitching Guide,https://ui-avatars.com/api/?name=TT&background=45f3ff&color=000,"<strong>Pitching Emily Olsen (Reporter, Healthcare Dive):</strong> Target her with stories focusing heavily on digital health, healthcare technology, AI implementation, and cybersecurity. She is highly interested in how financial pressures and tech influence broader health systems and provider dynamics.",Guide,3/5/26,Analysis,
Modern Healthcare,Publication,https://ui-avatars.com/api/?name=MH&background=0D8ABC&color=fff,We are excited to welcome Joyce Famikinwa to the digital health beat! She will be stepping into the role previously held by Brock Turner.,1 day ago,3/4/26,Publication,
Gabe Perna,Digital Health Journalist,https://ui-avatars.com/api/?name=Gabe+Perna&background=FFA500&color=fff,"Following a four-year tenure with Crain Communications, Gabriel Perna has announced his departure as the digital health editor from Modern Healthcare, aiming to pursue his next endeavors.",Today,3/5/26,Industry News,https://talkingbiznews.com/they-talk-biz-news/perna-departs-modern-healthcare/
Rebecca Torrence,"Reporter, Bloomberg News",https://ui-avatars.com/api/?name=Rebecca+Torrence&background=0D8ABC&color=fff,"""Some personal news: I am thrilled to share that I have joined Bloomberg to cover venture capital firms, startups, AI, and emerging technologies.""",Recent,3/1/26,Industry News,https://www.linkedin.com/search/results/all/?keywords=Rebecca%20Torrence%20Bloomberg
Emma Beavins,"Former Staff Writer, Fierce Healthcare",https://ui-avatars.com/api/?name=Emma+Beavins&background=FFA500&color=fff,I'm bowing out of Fierce Healthcare today. My final story examines the Coalition for Health AI (CHAI) and the recent failure of its assurance labs. It's been an honor covering health tech regulation.,Recent,2/28/26,LinkedIn,https://www.linkedin.com/search/results/all/?keywords=Emma%20Beavins%20Fierce%20Healthcare
Media News Digest,Industry Alert,https://ui-avatars.com/api/?name=WP&background=222&color=fff,Major restructuring at The Washington Post concludes with roughly one-third of the staff being laid off. The sweeping cuts impact over 300 journalists across numerous departments.,2025/2026,1/15/26,News Reports,
Fierce Healthcare,Publication,https://ui-avatars.com/api/?name=FH&background=B22222&color=fff,"Read Emma Beavins' final deep dive on how Congress and the administration are approaching health technology, AI, and virtual care post-pandemic.",Recent,2/28/26,Publication,
Tradeoffs Podcast,Health Policy Show,https://ui-avatars.com/api/?name=TR&background=555&color=fff,"We are thrilled to have veteran health journalists Julie Wernau and Melanie Evans, both formerly of the Wall Street Journal, as reporters/producers bringing their incredible experience to our show.",Recently,3/5/26,Press Release,
The New York Times,Announcement,https://ui-avatars.com/api/?name=NYT&background=000&color=fff,"Teddy Rosenbluth has joined our Well section. Moving forward, she will be covering health news with a specific focus on misinformation, AI, and its impacts on patient care.",Recently,3/5/26,Press Release,
Trisha Thadani,"Former Health Reporter, The Washington Post",https://ui-avatars.com/api/?name=WP&background=111&color=fff,"Following her transition to the health beat in late 2025, Trisha Thadani is no longer with The Washington Post. She had previously covered alternative medicine and the institutions shaping health today.",Recently,3/7/26,Industry News,
NPR Press Room,Announcement,https://ui-avatars.com/api/?name=NPR&background=333&color=fff,Pien Huang from our Science desk covering public health and disparities has been selected as a 2025 Public Health Reporting Fellow.,Recently,3/5/26,Press Release,
Stefanie Ilgenfritz,Veteran Health Journalist,https://ui-avatars.com/api/?name=SI&background=993333&color=fff,"After 35 years and multiple Pulitzer nods with The Wall Street Journal, Stefanie Ilgenfritz departed the publication following their recent health & science desk restructuring. She has not yet announced her next landing spot.",Oct-25,10/15/25,Industry News,
Maia Anderson,"Reporter, Healthcare Brew",https://ui-avatars.com/api/?name=MA&background=6B8E23&color=fff,I'm officially back from personal leave! I will be jumping back into covering the business side of the healthcare industry. Feel free to send your pitches.,Recently,3/5/26,Industry News,https://twitter.com/search?q=from%3AMaiaAnderson
Axios Vitals,Newsletter,https://ui-avatars.com/api/?name=AX&background=333&color=fff,Health care policy reporter Victoria Knight has departed Axios. She had contributed significantly to our Vitals coverage since 2022.,Aug-25,8/15/25,Publication,
